"day","outlook","temperature","humidity","windy","play"
1,"overcast","hot","high",False,"yes"
2,"overcast","cool","normal",True,"yes"
3,"overcast","mild","high",True,"yes"
4,"overcast","hot","normal",False,"yes"
5,"rainy","mild","high",False,"yes"
6,"rainy","cool","normal",False,"yes"
7,"rainy","cool","normal",True,"no"
8,"rainy","mild","normal",False,"yes"
9,"rainy","mild","high",True,"no"
10,"sunny","hot","high",False,"no"
11,"sunny","hot","high",True,"no"
12,"sunny","mild","high",False,"no"
13,"sunny","cool","normal",False,"yes"
14,"sunny","mild","normal",True,"yes"
